case_id,arm_b_final_state_hash,arm_d_input_state_hash,identical_evidence_assert,hashes_equal
RS01,71d8051719e12eb02104e0739e8e51117e1bf5a478b2e33ac5ce14fc135672f2,71d8051719e12eb02104e0739e8e51117e1bf5a478b2e33ac5ce14fc135672f2,True,True
RS02,02f89a2207d681ed2c30f7dbbb4e4002466720eb64af18fa482bd0de7abbe54d,02f89a2207d681ed2c30f7dbbb4e4002466720eb64af18fa482bd0de7abbe54d,True,True
RS03,066b92cfcfc44d3d294cd52b64867f567f1adec5ff36f2dfc566545a4c28b1d8,066b92cfcfc44d3d294cd52b64867f567f1adec5ff36f2dfc566545a4c28b1d8,True,True
RS04,544c5b06f7e2063d530e5c2f1f47bc965a1eeb5750ef4316251e5e1501ca80ea,544c5b06f7e2063d530e5c2f1f47bc965a1eeb5750ef4316251e5e1501ca80ea,True,True
RS05,3ba9f3acc10919a5529de672821a27779b8685dfc5ef776fe16cf2cf49523134,3ba9f3acc10919a5529de672821a27779b8685dfc5ef776fe16cf2cf49523134,True,True
RS06,77d0635df4c813c358ceee517d825af49d6e7a7d4e712c17f141b348182e9613,77d0635df4c813c358ceee517d825af49d6e7a7d4e712c17f141b348182e9613,True,True
RS07,a05e5c06b0dd7e0740a49c7fc246950a17391522d36e2226bc7a73430460acef,a05e5c06b0dd7e0740a49c7fc246950a17391522d36e2226bc7a73430460acef,True,True
RS08,7d101e7bec9df77587c6165d5287bca20cf09cdd1aa2d4a80d53d7c33b3678ec,7d101e7bec9df77587c6165d5287bca20cf09cdd1aa2d4a80d53d7c33b3678ec,True,True
RS09,c38dccae27e830e7a794617cb967463b2fd09217e98b325991af82cd432b1657,c38dccae27e830e7a794617cb967463b2fd09217e98b325991af82cd432b1657,True,True
RS10,4a99a7bc11062d9665a6628d281cc757c28eb172594a78b9fa313863cdc6fe8f,4a99a7bc11062d9665a6628d281cc757c28eb172594a78b9fa313863cdc6fe8f,True,True
RS11,ed17256ee16ec316345f16d80a78b3562c9493ce9dfaf2e66a9894f1f5a70567,ed17256ee16ec316345f16d80a78b3562c9493ce9dfaf2e66a9894f1f5a70567,True,True
RS12,37a08bc93aef9a6543941965aad234b8e950bb50c3e2038fd81ca386e5ccb48c,37a08bc93aef9a6543941965aad234b8e950bb50c3e2038fd81ca386e5ccb48c,True,True
RS13,b51acaf7700f28aa51b1faf4635425602ed858ae6da0aac4474876f6d2bf3cbb,b51acaf7700f28aa51b1faf4635425602ed858ae6da0aac4474876f6d2bf3cbb,True,True
RS14,00280e275e4b0342e5baae250c67c557522b88d5c3bce0550b40c85d3213fbed,00280e275e4b0342e5baae250c67c557522b88d5c3bce0550b40c85d3213fbed,True,True
RS15,89fc6e96857962b7d5d610d2b42603f7a6d82dd6667b642e7da998299d4e016c,89fc6e96857962b7d5d610d2b42603f7a6d82dd6667b642e7da998299d4e016c,True,True
RS16,e70d090dbcd89124f8a03efb24e255cd2513c51a07bb91b2f729b169034c1839,e70d090dbcd89124f8a03efb24e255cd2513c51a07bb91b2f729b169034c1839,True,True
RS17,445aedb1780d6066210ca233cee5dd804e537b4669be910eb7c996921e6bdeb9,445aedb1780d6066210ca233cee5dd804e537b4669be910eb7c996921e6bdeb9,True,True
RS18,f6c38471adbf9bd6f72e96cfc37b654b6d36e1a4656a4643b88925ebe3b529ad,f6c38471adbf9bd6f72e96cfc37b654b6d36e1a4656a4643b88925ebe3b529ad,True,True
RS19,9abd23390b8d5e23dd7a3aaad14187a397ebc2cb80cf82978d55115f491f63d6,9abd23390b8d5e23dd7a3aaad14187a397ebc2cb80cf82978d55115f491f63d6,True,True
RS20,5cb3522e09ae4791ea56e4ac9c9990b1d071823d675206190cee9b3456a1fb9e,5cb3522e09ae4791ea56e4ac9c9990b1d071823d675206190cee9b3456a1fb9e,True,True
