accession,source_experiment,reason_excluded,n_sources
GCA_024705055.2,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_046602855.1,cohort_C,prior_development_or_evaluation_or_reference_exposure,1
GCA_047374865.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_047421435.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_047470275.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_047785965.1,cohort_C,prior_development_or_evaluation_or_reference_exposure,1
GCA_047918715.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_047936695.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_048684825.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_049190845.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_049478495.1,cohort_C,prior_development_or_evaluation_or_reference_exposure,1
GCA_051037005.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_051791395.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_051853115.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_051908375.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_051917665.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_052416375.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_052855985.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_052954335.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_053819165.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_054331495.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_055181375.1,cohort_C,prior_development_or_evaluation_or_reference_exposure,1
GCA_055305445.1,cohort_C,prior_development_or_evaluation_or_reference_exposure,1
GCA_055378285.1,cohort_C,prior_development_or_evaluation_or_reference_exposure,1
GCA_055379825.1,cohort_C,prior_development_or_evaluation_or_reference_exposure,1
GCA_055394735.1,cohort_C,prior_development_or_evaluation_or_reference_exposure,1
GCA_056688965.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_056850595.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_057063505.1,cohort_C,prior_development_or_evaluation_or_reference_exposure,1
GCA_057327385.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_057612195.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_058182195.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_058663115.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_058684075.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_059729245.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_964023145.2,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_965234685.1,cohort_C,prior_development_or_evaluation_or_reference_exposure,1
GCA_984667895.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_988233015.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCA_988234735.1,cohort_A,prior_development_or_evaluation_or_reference_exposure,1
GCF_024705055.2,M60_EXCLUSION:cohort_A;cohort_A,prior_development_or_evaluation_or_reference_exposure,2
GCF_030436185.2,M60_selected;M60_truth_final,prior_development_or_evaluation_or_reference_exposure,2
GCF_032595855.2,D12_candidate_pool;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_046562475.1,D12;D12_candidate_pool;M60_EXCLUSION:D12;M60_EXCLUSION:D12_candidate_pool,prior_development_or_evaluation_or_reference_exposure,4
GCF_046602855.1,M60_EXCLUSION:cohort_C;M60_EXCLUSION:cohort_C_pilot5;cohort_C;cohort_C_pilot5,prior_development_or_evaluation_or_reference_exposure,4
GCF_046603865.1,D20_candidate_pool;M60_EXCLUSION:D20_candidate_pool,prior_development_or_evaluation_or_reference_exposure,2
GCF_046837775.1,M60_selected;M60_truth_final;decision_authority_poc_v5,prior_development_or_evaluation_or_reference_exposure,3
GCF_046846385.1,D8;M60_EXCLUSION:D8,prior_development_or_evaluation_or_reference_exposure,2
