N,q_discordance,p_agentic_favours,expected_discordant_pairs,alpha,test,power,powered_ge_0.80
40,0.10,0.60,4.0,0.05,exact_two_sided_mcnemar_binomial,0.008598,NO
40,0.10,0.65,4.0,0.05,exact_two_sided_mcnemar_binomial,0.013666,NO
40,0.10,0.70,4.0,0.05,exact_two_sided_mcnemar_binomial,0.021720,NO
40,0.10,0.75,4.0,0.05,exact_two_sided_mcnemar_binomial,0.033734,NO
40,0.10,0.80,4.0,0.05,exact_two_sided_mcnemar_binomial,0.050965,NO
40,0.10,0.85,4.0,0.05,exact_two_sided_mcnemar_binomial,0.074952,NO
40,0.20,0.60,8.0,0.05,exact_two_sided_mcnemar_binomial,0.037663,NO
40,0.20,0.65,8.0,0.05,exact_two_sided_mcnemar_binomial,0.064618,NO
40,0.20,0.70,8.0,0.05,exact_two_sided_mcnemar_binomial,0.108013,NO
40,0.20,0.75,8.0,0.05,exact_two_sided_mcnemar_binomial,0.172427,NO
40,0.20,0.80,8.0,0.05,exact_two_sided_mcnemar_binomial,0.261967,NO
40,0.20,0.85,8.0,0.05,exact_two_sided_mcnemar_binomial,0.378664,NO
40,0.30,0.60,12.0,0.05,exact_two_sided_mcnemar_binomial,0.059509,NO
40,0.30,0.65,12.0,0.05,exact_two_sided_mcnemar_binomial,0.110229,NO
40,0.30,0.70,12.0,0.05,exact_two_sided_mcnemar_binomial,0.191421,NO
40,0.30,0.75,12.0,0.05,exact_two_sided_mcnemar_binomial,0.307416,NO
40,0.30,0.80,12.0,0.05,exact_two_sided_mcnemar_binomial,0.455972,NO
40,0.30,0.85,12.0,0.05,exact_two_sided_mcnemar_binomial,0.624533,NO
40,0.40,0.60,16.0,0.05,exact_two_sided_mcnemar_binomial,0.081866,NO
40,0.40,0.65,16.0,0.05,exact_two_sided_mcnemar_binomial,0.159039,NO
40,0.40,0.70,16.0,0.05,exact_two_sided_mcnemar_binomial,0.279253,NO
40,0.40,0.75,16.0,0.05,exact_two_sided_mcnemar_binomial,0.439723,NO
40,0.40,0.80,16.0,0.05,exact_two_sided_mcnemar_binomial,0.621850,NO
40,0.40,0.85,16.0,0.05,exact_two_sided_mcnemar_binomial,0.792812,NO
40,0.50,0.60,20.0,0.05,exact_two_sided_mcnemar_binomial,0.098878,NO
40,0.50,0.65,20.0,0.05,exact_two_sided_mcnemar_binomial,0.200114,NO
40,0.50,0.70,20.0,0.05,exact_two_sided_mcnemar_binomial,0.354433,NO
40,0.50,0.75,20.0,0.05,exact_two_sided_mcnemar_binomial,0.547707,NO
40,0.50,0.80,20.0,0.05,exact_two_sided_mcnemar_binomial,0.742330,NO
40,0.50,0.85,20.0,0.05,exact_two_sided_mcnemar_binomial,0.892306,YES
50,0.10,0.60,5.0,0.05,exact_two_sided_mcnemar_binomial,0.015778,NO
50,0.10,0.65,5.0,0.05,exact_two_sided_mcnemar_binomial,0.025531,NO
50,0.10,0.70,5.0,0.05,exact_two_sided_mcnemar_binomial,0.041111,NO
50,0.10,0.75,5.0,0.05,exact_two_sided_mcnemar_binomial,0.064400,NO
50,0.10,0.80,5.0,0.05,exact_two_sided_mcnemar_binomial,0.097726,NO
50,0.10,0.85,5.0,0.05,exact_two_sided_mcnemar_binomial,0.143730,NO
50,0.20,0.60,10.0,0.05,exact_two_sided_mcnemar_binomial,0.049089,NO
50,0.20,0.65,10.0,0.05,exact_two_sided_mcnemar_binomial,0.087811,NO
50,0.20,0.70,10.0,0.05,exact_two_sided_mcnemar_binomial,0.150137,NO
50,0.20,0.75,10.0,0.05,exact_two_sided_mcnemar_binomial,0.241189,NO
50,0.20,0.80,10.0,0.05,exact_two_sided_mcnemar_binomial,0.363114,NO
50,0.20,0.85,10.0,0.05,exact_two_sided_mcnemar_binomial,0.512022,NO
50,0.30,0.60,15.0,0.05,exact_two_sided_mcnemar_binomial,0.076157,NO
50,0.30,0.65,15.0,0.05,exact_two_sided_mcnemar_binomial,0.146563,NO
50,0.30,0.70,15.0,0.05,exact_two_sided_mcnemar_binomial,0.256960,NO
50,0.30,0.75,15.0,0.05,exact_two_sided_mcnemar_binomial,0.406734,NO
50,0.30,0.80,15.0,0.05,exact_two_sided_mcnemar_binomial,0.581845,NO
50,0.30,0.85,15.0,0.05,exact_two_sided_mcnemar_binomial,0.754520,NO
50,0.40,0.60,20.0,0.05,exact_two_sided_mcnemar_binomial,0.098877,NO
50,0.40,0.65,20.0,0.05,exact_two_sided_mcnemar_binomial,0.200117,NO
50,0.40,0.70,20.0,0.05,exact_two_sided_mcnemar_binomial,0.354195,NO
50,0.40,0.75,20.0,0.05,exact_two_sided_mcnemar_binomial,0.546692,NO
50,0.40,0.80,20.0,0.05,exact_two_sided_mcnemar_binomial,0.740153,NO
50,0.40,0.85,20.0,0.05,exact_two_sided_mcnemar_binomial,0.889510,YES
50,0.50,0.60,25.0,0.05,exact_two_sided_mcnemar_binomial,0.118830,NO
