case_id,accession,species,genus,organism,assembly_level,seq_rel_date,assembly_path,assembly_sha256,target
RS01,GCF_047713185.1,Escherichia coli,Escherichia,Escherichia coli,Scaffold,2025-02-12,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_047713185.1.fna,045a917d3d94117139e2465a467ba468a8c65ce0a9310efe5fed470d00445584,tetA_tetracycline_efflux
RS02,GCF_054185995.1,Citrobacter braakii,Citrobacter,Citrobacter braakii,Contig,2025-12-24,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_054185995.1.fna,84a322981afa43434aaa0af460fa6281af0205d55098afa7e20d3739bc507347,tetA_tetracycline_efflux
RS03,GCF_055768945.1,Actinobacillus pleuropneumoniae,Actinobacillus,Actinobacillus pleuropneumoniae serovar 15,Scaffold,2026-03-10,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_055768945.1.fna,666e1f92496dc724b1595c5b217675ca4c053fa5b4a475740b3039eeb7cedc59,tetA_tetracycline_efflux
RS04,GCF_058245975.1,Providencia manganoxydans,Providencia,Providencia manganoxydans,Contig,2026-06-16,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_058245975.1.fna,0ff455c9dda7642c535448db145660b02466fa5f9a14ad1c2918edefdfd927c6,tetA_tetracycline_efflux
RS05,GCF_047914675.1,Klebsiella pneumoniae,Klebsiella,Klebsiella pneumoniae,Contig,2025-02-19,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_047914675.1.fna,b68c8de2815b2c6dccd4f0c24eae5de0cd7e72c1ebf190c3a188c75a0005fb6c,tetA_tetracycline_efflux
RS06,GCF_053605175.1,Streptomyces sp.,Streptomyces,Streptomyces sp. NPDC003952,Scaffold,2025-11-23,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_053605175.1.fna,057d09806bb0ee625d83516eb062d88aad80aa6c0ea2edd94d1e2aed14b00030,tetA_tetracycline_efflux
RS07,GCF_050030575.1,Enterobacter cloacae,Enterobacter,Enterobacter cloacae complex sp. 400B2,Contig,2025-04-30,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_050030575.1.fna,5734bc3899daa8d188c7ac9283990baff749a92be41ea6c447d9d01f085b6476,tetA_tetracycline_efflux
RS08,GCF_056665275.1,Acinetobacter baumannii,Acinetobacter,Acinetobacter baumannii,Contig,2026-04-09,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_056665275.1.fna,e2b319c4c75d1373f54f3ee9da7e61a9e16bcc62211795a0be89a85ee9c93aa0,tetA_tetracycline_efflux
RS09,GCF_058093475.1,Listeria monocytogenes,Listeria,Listeria monocytogenes,Complete Genome,2026-06-08,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_058093475.1.fna,41a8cead0534c39a6f7f3d0945a46a7b824c1f6134bf67ad2774b9678208396d,tetA_tetracycline_efflux
RS10,GCF_046552895.1,Salmonella sp.,Salmonella,Salmonella sp. s59108,Contig,2025-01-08,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_046552895.1.fna,68a00e935be50f3d853821f340beb145bc0e4917c378bfc5042b38ceb4d274ad,tetA_tetracycline_efflux
