case_id,accession,arm_b_prediction,arm_d_prediction,arm_b_final_state_hash,arm_d_endpoint,arm_b_endpoint,conceptual_arm
RS01,GCF_047713185.1,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/06_SOL_CONTROLLER/RS01/prediction.json,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/08_SOL_JUDGE/RS01/prediction.json,71d8051719e12eb02104e0739e8e51117e1bf5a478b2e33ac5ce14fc135672f2,PRESENT,PRESENT,E_SOL_FULL_AUTHORITY
RS02,GCF_054185995.1,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/06_SOL_CONTROLLER/RS02/prediction.json,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/08_SOL_JUDGE/RS02/prediction.json,02f89a2207d681ed2c30f7dbbb4e4002466720eb64af18fa482bd0de7abbe54d,PRESENT,PRESENT,E_SOL_FULL_AUTHORITY
RS03,GCF_055768945.1,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/06_SOL_CONTROLLER/RS03/prediction.json,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/08_SOL_JUDGE/RS03/prediction.json,066b92cfcfc44d3d294cd52b64867f567f1adec5ff36f2dfc566545a4c28b1d8,PRESENT,PRESENT,E_SOL_FULL_AUTHORITY
RS04,GCF_058245975.1,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/06_SOL_CONTROLLER/RS04/prediction.json,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/08_SOL_JUDGE/RS04/prediction.json,544c5b06f7e2063d530e5c2f1f47bc965a1eeb5750ef4316251e5e1501ca80ea,PRESENT,PRESENT,E_SOL_FULL_AUTHORITY
RS05,GCF_047914675.1,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/06_SOL_CONTROLLER/RS05/prediction.json,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/08_SOL_JUDGE/RS05/prediction.json,3ba9f3acc10919a5529de672821a27779b8685dfc5ef776fe16cf2cf49523134,PRESENT,PRESENT,E_SOL_FULL_AUTHORITY
RS06,GCF_053605175.1,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/06_SOL_CONTROLLER/RS06/prediction.json,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/08_SOL_JUDGE/RS06/prediction.json,77d0635df4c813c358ceee517d825af49d6e7a7d4e712c17f141b348182e9613,UNRESOLVED,ABSENT,E_SOL_FULL_AUTHORITY
RS07,GCF_050030575.1,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/06_SOL_CONTROLLER/RS07/prediction.json,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/08_SOL_JUDGE/RS07/prediction.json,a05e5c06b0dd7e0740a49c7fc246950a17391522d36e2226bc7a73430460acef,PRESENT,PRESENT,E_SOL_FULL_AUTHORITY
RS08,GCF_056665275.1,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/06_SOL_CONTROLLER/RS08/prediction.json,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/08_SOL_JUDGE/RS08/prediction.json,7d101e7bec9df77587c6165d5287bca20cf09cdd1aa2d4a80d53d7c33b3678ec,PRESENT,PRESENT,E_SOL_FULL_AUTHORITY
RS09,GCF_058093475.1,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/06_SOL_CONTROLLER/RS09/prediction.json,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/08_SOL_JUDGE/RS09/prediction.json,c38dccae27e830e7a794617cb967463b2fd09217e98b325991af82cd432b1657,UNRESOLVED,ABSENT,E_SOL_FULL_AUTHORITY
RS10,GCF_046552895.1,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/06_SOL_CONTROLLER/RS10/prediction.json,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/08_SOL_JUDGE/RS10/prediction.json,4a99a7bc11062d9665a6628d281cc757c28eb172594a78b9fa313863cdc6fe8f,PRESENT,PRESENT,E_SOL_FULL_AUTHORITY
RS11,GCF_053903025.1,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/06_SOL_CONTROLLER/RS11/prediction.json,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/08_SOL_JUDGE/RS11/prediction.json,ed17256ee16ec316345f16d80a78b3562c9493ce9dfaf2e66a9894f1f5a70567,UNRESOLVED,ABSENT,E_SOL_FULL_AUTHORITY
