execution_position,case_id,accession,organism,genus,species,target,stratum,assembly_level,assembly_quality,genome_size,release_date,sampling_hash,selection_tie_hash,execution_hash,ambiguity_score,selection_rank
1,M60_rpoB_RNAP_beta_GCF_049943055.1,GCF_049943055.1,Mammaliicoccus lentus,Mammaliicoccus,Mammaliicoccus lentus,rpoB_RNAP_beta,challenge,Complete Genome,complete_or_chromosome,2846912,2025-04-27,00411f9dbcfbf701ac2608c3ec6dbd34259b776866314ed0c00f0afc2148ca0b,bb42080a66aabc5467972dbb2941781ab3106c7143a0790d2ddacabea1c4bc31,033189bd789435c01081b6295b11bc659caf194131f5b359d00df34c104565e5,11,4
2,M60_rpoB_RNAP_beta_GCF_052786815.1,GCF_052786815.1,Listeria monocytogenes,Listeria,Listeria monocytogenes,rpoB_RNAP_beta,routine,Complete Genome,complete_or_chromosome,2905753,2025-09-23,00078a82726f3020e871a560ac3caba3b861fb53dfd8d73fc3f2590ba4f79bfd,9cb2b2fcaac3f47cfac35b0aaa6f879bccee542304dd6f85b7e96123963b7a3e,1544eb49e174b1c5ca36adae42d6d2d55eda875a02410a73141cf58d19a08e99,,
3,M60_rpoB_RNAP_beta_GCF_965253375.1,GCF_965253375.1,Wolbachia pipientis,Wolbachia,Wolbachia pipientis,rpoB_RNAP_beta,challenge,Contig,scaffold_or_contig,1309068,2025-11-10,0000fab6b7cac0e0c127f27eb6aed5cad32f2c38d107d11e9ad6dacc5ce308ae,5e336f53b25ec8b1f1a3d7ff53d0379233f36e4bd80546693cbbd683ccbb7686,1571aa7541706a86fa6f15cb476de87f508d54f8c35c250ee0da109649c2f305,12,9
4,M60_rpoB_RNAP_beta_GCF_053348035.1,GCF_053348035.1,Pseudomonas aeruginosa,Pseudomonas,Pseudomonas aeruginosa,rpoB_RNAP_beta,routine,Contig,scaffold_or_contig,6782081,2025-11-05,0000975847d0a77aad1baef326b68d6049e8e7c575580fecd7d4bb4f2d11d5a0,5077dcfbbb1306835ce686fe192c040922cefd13a6e4c528cdc14886baee21ab,1fb53c9a42c7bc2a072590969862191c3793884b0f0a79a91368058ee28dba70,,
5,M60_tetA_tetracycline_efflux_GCF_054452975.1,GCF_054452975.1,Legionella pneumophila,Legionella,Legionella pneumophila,tetA_tetracycline_efflux,challenge,Complete Genome,complete_or_chromosome,3619537,2026-01-10,002fb265c4d95c16e66e885c414afadc9723da74d934099f861651be2ca2160c,4d1f945b5c9948ad913db77fc845b8b9afa52b8e16a4429213e5481b19e18118,1feff88ea674d4a760a16411e3d359b24933cc1e48f4f863c619bdddf8badd9d,10,3
6,M60_tetA_tetracycline_efflux_GCF_052658775.1,GCF_052658775.1,Erwinia amylovora,Erwinia,Erwinia amylovora,tetA_tetracycline_efflux,routine,Chromosome,complete_or_chromosome,3832290,2025-09-16,001ad96d73e3691a3ac97b54be43b0e637d4c59aa208e1cb457c95d8afe8a0d7,56d69587eeae95a6f60639424f4b45cd767451a2ec3825afdbf763d9629f7d93,205f2b716456c73343a8432b41e2b33881000828bc1475c246871bb180dcb020,,
7,M60_rpoB_RNAP_beta_GCF_052923225.1,GCF_052923225.1,Bifidobacterium angulatum,Bifidobacterium,Bifidobacterium angulatum,rpoB_RNAP_beta,challenge,Contig,scaffold_or_contig,2115888,2025-09-29,00033c5d21807eed3d07b5450ad5efdc66ba7dc973361517c5a230a22db2b98c,b852d5a19b54b67e8a2b4147e2c1fee59097286ced1ea4365ac8f75f3b6add9e,2125b6b804c244be71e4a0b8f3f06ca3e5d9d20f29cd4bd7a1a3b96582118bee,11,11
8,M60_tetA_tetracycline_efflux_GCF_056173045.1,GCF_056173045.1,Thalassospira sp. Z349TD_5,Thalassospira,Thalassospira sp. Z349TD_5,tetA_tetracycline_efflux,challenge,Complete Genome,complete_or_chromosome,4598326,2026-03-21,00104c347a832749967e8d20cd9b8279fe788e156faa287a8e81de040c0f2eba,ae9e77465f380bcb3399db83d2277166ccac74aaec75593da0936b92e87c4f02,27d063855ccde022bc7f737635b373aa9fb9cc2c2c747307aef226ce5840842e,10,4
9,M60_rpoB_RNAP_beta_GCF_030436185.2,GCF_030436185.2,Borreliella yangtzensis,Borreliella,Borreliella yangtzensis,rpoB_RNAP_beta,challenge,Complete Genome,complete_or_chromosome,1463015,2025-02-28,001613be84ef6de18dbbe3f13ca5945c22aee71c26dd704917720c592e7b5373,94a8b95c495b0ca37cd91ba2205dcff0a406799e6ff3a9f0412fa3a5cea229e3,2817d2688a59173dfbcb7c58d4bf74c05e368fba019cbab54c529d224c19eddd,11,3
10,M60_tetA_tetracycline_efflux_GCF_058808595.1,GCF_058808595.1,Dokdonella sp. GW821-FHT11D02,Dokdonella,Dokdonella sp.,tetA_tetracycline_efflux,challenge,Complete Genome,complete_or_chromosome,5071294,2026-07-03,004b2d2a74e71a7eafedd6354ff2c8bf78dc8ce95933277f16da73a5f8568758,537abf1bc8f8ecb3206eae353c4f3edb2751ca447b51e455484d9feebe081963,28a9b0739682f83028f52925fd5b9b8b3e5202d8e022830f524758ad794a4862,12,1
